Minutes played,Field Goals Made,Field Goals Attempted,Field Goals 3 Points Made,Field Goal 3 Points Attempt,Free Throws Made,Free Throws Attempt,Offensive Rebounds,Defensive Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Double-double,Triple-double,Draftkings next game score
33,6,18,2,4,1,2,5,1,3,0,0,4,1,15,0,0,40.0
32,8,15,1,2,8,9,1,3,4,1,0,5,4,25,0,0,21.0
28,6,17,0,3,2,3,2,4,1,0,0,1,1,14,0,0,32.25
35,9,19,4,8,1,3,2,5,5,0,0,3,2,23,0,0,19.25
29,2,13,1,4,2,3,0,9,5,0,1,3,4,7,0,0,9.5
26,4,10,0,0,0,0,0,2,5,0,0,2,0,8,0,0,12.5
16,5,7,2,2,1,2,0,0,1,0,0,3,0,13,0,0,27.0
22,7,16,2,3,4,7,2,4,3,0,0,3,1,20,0,0,15.75
24,4,15,3,9,0,0,2,1,4,0,0,1,1,11,0,0,23.0
22,4,14,1,5,4,6,0,2,1,3,0,4,1,13,0,0,15.0
26,5,13,1,4,0,0,0,2,3,0,1,2,2,11,0,0,24.75
23,4,10,1,3,3,6,1,2,3,1,0,1,2,12,0,0,14.75
25,3,13,0,3,0,0,0,3,2,1,0,2,1,6,0,0,23.0
29,6,16,1,2,3,4,2,4,6,0,0,2,2,16,0,0,30.5
23,5,13,2,4,4,4,0,4,3,1,0,1,2,16,0,0,14.0
23,3,9,2,4,3,3,0,2,1,0,0,1,2,11,0,0,19.25
23,2,12,0,6,3,4,1,2,3,1,0,1,2,7,0,0,14.0
22,4,8,0,1,3,4,0,0,1,1,0,0,1,11,0,0,58.5
21,1,5,0,1,1,5,0,0,6,3,1,1,1,3,0,0,10.25
19,2,9,1,2,1,2,2,1,1,0,0,0,0,6,0,0,73.25
32,10,20,2,4,7,7,1,2,7,2,0,5,4,29,0,0,27.5
27,8,20,3,5,4,4,1,3,8,0,0,4,2,23,0,0,55.25
33,12,18,6,7,7,7,1,2,4,1,0,1,1,37,0,0,31.0
33,4,13,1,4,2,3,0,2,3,2,1,6,3,11,0,0,76.25
36,10,20,0,4,0,0,2,5,4,4,1,5,2,20,0,0,47.5
39,9,29,3,8,4,5,3,3,5,1,0,3,2,25,0,0,58.25
30,7,19,3,10,0,0,0,3,2,6,0,0,2,17,0,0,48.75
34,8,21,3,6,0,1,1,4,8,1,0,4,4,19,0,0,127.5
34,10,20,5,8,9,11,2,4,7,4,0,1,3,34,0,0,21.75
27,7,17,1,8,3,3,1,2,3,0,0,1,3,18,0,0,29.25
